"a"	"b"	"w"	"x1"	"y1"	"x2"	"y2"
"5_1"	"7_1"	0.618560779266253	5	0.492896856551106	7	0.654081437124625
"5_2"	"7_1"	0.23936644729314	5	0.579759860456364	7	0.654081437124625
"5_3"	"7_1"	0.31058070966691	5	0.413393685615513	7	0.654081437124625
"5_4"	"7_1"	0.186158168971704	5	0.24997352034804	7	0.654081437124625
"5_5"	"7_1"	0.22833717743776	5	0.326530681710254	7	0.654081437124625
"5_1"	"7_2"	0.293713573595617	5	0.492896856551106	7	0.697439712778689
"5_2"	"7_2"	0.728698585808865	5	0.579759860456364	7	0.697439712778689
"5_3"	"7_2"	0.277510999959116	5	0.413393685615513	7	0.697439712778689
"5_4"	"7_2"	0.223830495870612	5	0.24997352034804	7	0.697439712778689
"5_5"	"7_2"	0.261457521770573	5	0.326530681710254	7	0.697439712778689
"5_1"	"7_3"	0.375952602741564	5	0.492896856551106	7	0.488754996795314
"5_2"	"7_3"	0.241154754442118	5	0.579759860456364	7	0.488754996795314
"5_3"	"7_3"	0.687895313218234	5	0.413393685615513	7	0.488754996795314
"5_4"	"7_3"	0.19246977282597	5	0.24997352034804	7	0.488754996795314
"5_5"	"7_3"	0.327663921840109	5	0.326530681710254	7	0.488754996795314
"5_1"	"7_4"	0.415932504954797	5	0.492896856551106	7	0.411200058905975
"5_2"	"7_4"	0.23006715564346	5	0.579759860456364	7	0.411200058905975
"5_3"	"7_4"	0.162853583891811	5	0.413393685615513	7	0.411200058905975
"5_4"	"7_4"	0.41082454300925	5	0.24997352034804	7	0.411200058905975
"5_5"	"7_4"	0.243520718149795	5	0.326530681710254	7	0.411200058905975
"5_1"	"7_5"	0.179669911360358	5	0.492896856551106	7	0.239667677804996
"5_2"	"7_5"	0.183091194436496	5	0.579759860456364	7	0.239667677804996
"5_3"	"7_5"	0.247332524297834	5	0.413393685615513	7	0.239667677804996
"5_4"	"7_5"	0.817042480917792	5	0.24997352034804	7	0.239667677804996
"5_5"	"7_5"	0.200746982744259	5	0.326530681710254	7	0.239667677804996
"5_1"	"7_6"	0.354084436530156	5	0.492896856551106	7	0.326530681710254
"5_2"	"7_6"	0.23044431293756	5	0.579759860456364	7	0.326530681710254
"5_3"	"7_6"	0.356652535738878	5	0.413393685615513	7	0.326530681710254
"5_4"	"7_6"	0.242552522724523	5	0.24997352034804	7	0.326530681710254
"5_5"	"7_6"	0.836927075952958	5	0.326530681710254	7	0.326530681710254
"5_1"	"7_7"	0.168269640684631	5	0.492896856551106	7	0.575618000700573
"5_2"	"7_7"	0.388331777011263	5	0.579759860456364	7	0.575618000700573
"5_3"	"7_7"	0.518358479689548	5	0.413393685615513	7	0.575618000700573
"5_4"	"7_7"	0.320807345119396	5	0.24997352034804	7	0.575618000700573
"5_5"	"7_7"	0.243533020395051	5	0.326530681710254	7	0.575618000700573
"7_1"	"9_1"	0.199654040996016	7	0.654081437124625	9	0.446696349724674
"7_2"	"9_1"	0.2602865622254	7	0.697439712778689	9	0.446696349724674
"7_3"	"9_1"	0.171950927078776	7	0.488754996795314	9	0.446696349724674
"7_4"	"9_1"	0.696309029890149	7	0.411200058905975	9	0.446696349724674
"7_5"	"9_1"	0.336564467688404	7	0.239667677804996	9	0.446696349724674
"7_6"	"9_1"	0.209222707535849	7	0.326530681710254	9	0.446696349724674
"7_7"	"9_1"	0.171370062249943	7	0.575618000700573	9	0.446696349724674
"7_1"	"9_2"	0.193373089524978	7	0.654081437124625	9	0.789287886981735
"7_2"	"9_2"	0.626566196328167	7	0.697439712778689	9	0.789287886981735
"7_3"	"9_2"	0.216991447960827	7	0.488754996795314	9	0.789287886981735
"7_4"	"9_2"	0.187392791947787	7	0.411200058905975	9	0.789287886981735
"7_5"	"9_2"	0.144952998321603	7	0.239667677804996	9	0.789287886981735
"7_6"	"9_2"	0.271598519067908	7	0.326530681710254	9	0.789287886981735
"7_7"	"9_2"	0.14444165608039	7	0.575618000700573	9	0.789287886981735
"7_1"	"9_3"	0.200798869148882	7	0.654081437124625	9	0.326530681710254
"7_2"	"9_3"	0.175794420742611	7	0.697439712778689	9	0.326530681710254
"7_3"	"9_3"	0.207180149973223	7	0.488754996795314	9	0.326530681710254
"7_4"	"9_3"	0.18834353487641	7	0.411200058905975	9	0.326530681710254
"7_5"	"9_3"	0.172445749687373	7	0.239667677804996	9	0.326530681710254
"7_6"	"9_3"	0.745654989968279	7	0.326530681710254	9	0.326530681710254
"7_7"	"9_3"	0.194044029268365	7	0.575618000700573	9	0.326530681710254
"7_1"	"9_4"	0.683528403071143	7	0.654081437124625	9	0.702424883076477
"7_2"	"9_4"	0.190193169711567	7	0.697439712778689	9	0.702424883076477
"7_3"	"9_4"	0.224288649742857	7	0.488754996795314	9	0.702424883076477
"7_4"	"9_4"	0.191292764372529	7	0.411200058905975	9	0.702424883076477
"7_5"	"9_4"	0.149746886323923	7	0.239667677804996	9	0.702424883076477
"7_6"	"9_4"	0.224407066467194	7	0.326530681710254	9	0.702424883076477
"7_7"	"9_4"	0.168997507608208	7	0.575618000700573	9	0.702424883076477
"7_1"	"9_5"	0.155823653871527	7	0.654081437124625	9	0.239667677804996
"7_2"	"9_5"	0.16232528447657	7	0.697439712778689	9	0.239667677804996
"7_3"	"9_5"	0.177044569814081	7	0.488754996795314	9	0.239667677804996
"7_4"	"9_5"	0.168385420322026	7	0.411200058905975	9	0.239667677804996
"7_5"	"9_5"	0.808217516428415	7	0.239667677804996	9	0.239667677804996
"7_6"	"9_5"	0.182775361945074	7	0.326530681710254	9	0.239667677804996
"7_7"	"9_5"	0.312328234990949	7	0.575618000700573	9	0.239667677804996
"7_1"	"9_6"	0.220329670840845	7	0.654081437124625	9	0.634314327474725
"7_2"	"9_6"	0.41660361099206	7	0.697439712778689	9	0.634314327474725
"7_3"	"9_6"	0.237220283000196	7	0.488754996795314	9	0.634314327474725
"7_4"	"9_6"	0.153186777593218	7	0.411200058905975	9	0.634314327474725
"7_5"	"9_6"	0.151610728867648	7	0.239667677804996	9	0.634314327474725
"7_6"	"9_6"	0.168052429894349	7	0.326530681710254	9	0.634314327474725
"7_7"	"9_6"	0.608339202698981	7	0.575618000700573	9	0.634314327474725
"7_1"	"9_7"	0.295137412270249	7	0.654081437124625	9	0.556722821338001
