"x"	"y"	"k"	"size"	"name"	"p"
1	0.492896856551106	5	0.163660438944291	"5_1"	"4.2059e-01, 3.5205e-01, 2.6728e-01, 3.7283e-01, 2.5612e-01, 2.9290e-01, 1.0821e-01, 1.2271e-01, 3.8634e-01, 1.4567e-01, 9.5156e-02, 3.2254e-01, 1.2533e-01, 1.8840e-01, 1.5399e-01, 1.4978e-01, 3.6695e-01, 2.2201e-01, 1.5515e-01, 3.8228e-01, 8.8017e-02, 1.3803e-01, 1.4242e-01, 1.4558e-01, 4.1504e-01, 1.3260e-01, 1.2687e-01, 3.5260e-01, 1.2367e-01, 8.4342e-02, 1.5998e-01, 1.6828e-01, 1.6334e-01, 1.8957e-01, 1.7490e-01, 1.0817e-01, 4.2587e-01, 1.2279e-01, 2.7098e-01, 1.8537e-01, 1.4703e-01, 2.7838e-01, 1.2115e-01, 8.4057e-02, 3.4652e-01, 1.9404e-01, 1.5511e-01, 7.2725e-02, 1.1603e-01, 2.3482e-01, 9.0512e-02, 8.7142e-02, 1.1075e-01, 3.8505e-02, 3.6143e-02, 2.8713e-02, 2.6891e-02, 5.6347e-02, 0.0000e+00, 1.4788e-03, 5.3514e-02, 2.3852e-04, 1.0782e-02, 0.0000e+00, 4.3962e-05, 1.2750e-01, 3.3892e-02, 1.0931e-01, 6.9705e-02, 4.6811e-02, 0.0000e+00, 2.1611e-01, 2.2835e-01"
2	0.579759860456364	5	0.148211907765629	"5_2"	"0.10774883, 0.06688062, 0.04682356, 0.08503852, 0.03274610, 0.03155248, 0.04208953, 0.02491918, 0.08541846, 0.04091267, 0.03841750, 0.01754876, 0.00013447, 0.00061145, 0.01182832, 0.05753132, 0.12359592, 0.12859187, 0.00238007, 0.02631800, 0.00000000, 0.02793357, 0.06696976, 0.02030301, 0.07180851, 0.02364343, 0.09176937, 0.15269696, 0.12049445, 0.83906959, 0.11517204, 0.23508938, 0.18103366, 0.43506238, 0.09491810, 0.13690638, 0.00854298, 0.08258267, 0.06454311, 0.06437177, 0.28272558, 0.35172745, 0.16306981, 0.15865730, 0.01069147, 0.09118293, 0.02792591, 0.14337579, 0.11577844, 0.10003414, 0.25928299, 0.15567959, 0.20528783, 0.33816292, 0.13257159, 0.47479273, 0.15204110, 0.49591440, 0.42672690, 0.20855642, 0.46723830, 0.10494681, 0.13770383, 0.14010156, 0.05187497, 0.09387173, 0.06447953, 0.06243366, 0.12101399, 0.03314133, 0.10150142, 0.03962591, 0.23555298"
3	0.413393685615513	5	0.321020565501221	"5_3"	"0.31957231, 0.31527599, 0.39836605, 0.36051818, 0.40532544, 0.37668133, 0.42724612, 0.29929957, 0.00710161, 0.16516803, 0.19197298, 0.16704462, 0.22940900, 0.05204158, 0.05401600, 0.13433339, 0.02471918, 0.10233403, 0.27950911, 0.24377672, 0.20927661, 0.18589709, 0.07974050, 0.15988618, 0.08578925, 0.17124514, 0.17550616, 0.00496894, 0.20760166, 0.00000000, 0.20918762, 0.17101724, 0.25898936, 0.14733694, 0.34037319, 0.51082275, 0.45408987, 0.55159906, 0.35727156, 0.45817556, 0.33202023, 0.28373690, 0.57299825, 0.56218548, 0.53786297, 0.56648886, 0.61156030, 0.59188613, 0.54323958, 0.54796859, 0.55837449, 0.68014281, 0.61870725, 0.56356549, 0.67457092, 0.41919654, 0.56590762, 0.36778366, 0.36111111, 0.59594105, 0.37814211, 0.45775891, 0.19663894, 0.41465312, 0.37253264, 0.26932573, 0.36521954, 0.30881613, 0.38418063, 0.48100069, 0.32546876, 0.07706962, 0.00033851"
4	0.24997352034804	5	0.13042985802395	"5_4"	"4.1283e-05, 4.2234e-02, 4.0727e-02, 1.9628e-04, 3.3620e-04, 2.2690e-02, 4.3459e-02, 4.1352e-02, 1.9652e-01, 5.4850e-02, 6.5441e-02, 3.4888e-05, 1.2506e-02, 1.2487e-01, 1.2194e-01, 3.8654e-02, 6.6546e-02, 2.5873e-02, 0.0000e+00, 4.1908e-05, 8.8473e-02, 2.6082e-02, 9.7568e-02, 2.4302e-02, 4.2841e-02, 6.6300e-02, 3.8677e-02, 1.5995e-01, 7.0471e-03, 7.7534e-03, 5.2297e-03, 0.0000e+00, 2.4883e-02, 3.0211e-05, 1.0200e-03, 0.0000e+00, 0.0000e+00, 6.0456e-05, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 5.6348e-05, 4.4240e-04, 7.8984e-02, 1.2928e-02, 4.0656e-02, 1.5905e-02, 4.9346e-04, 0.0000e+00, 2.3561e-02, 4.2289e-02, 1.3642e-02, 1.4253e-02, 4.2119e-02, 4.3739e-02, 6.5722e-02, 1.3148e-02, 1.3498e-01, 7.8476e-02, 9.2001e-02, 3.6646e-01, 5.5671e-01, 3.0912e-01, 4.3909e-01, 4.7836e-01, 4.6014e-01, 5.1841e-01, 4.2510e-01, 4.0578e-01, 5.0197e-01, 5.8334e-01, 5.3576e-01"
5	0.326530681710254	5	0.236677229764908	"5_5"	"0.1520456, 0.2235558, 0.2467992, 0.1814122, 0.3054734, 0.2761785, 0.3789926, 0.5117188, 0.3246167, 0.5934023, 0.6090118, 0.4928305, 0.6326229, 0.6340784, 0.6582179, 0.6196977, 0.4181939, 0.5211934, 0.5629602, 0.3475819, 0.6142337, 0.6220528, 0.6133020, 0.6499269, 0.3845242, 0.6062103, 0.5671765, 0.3297810, 0.5411853, 0.0688351, 0.5104297, 0.4256183, 0.3717518, 0.2279992, 0.3887922, 0.2440979, 0.1114960, 0.2429720, 0.3072072, 0.2920826, 0.2382220, 0.0861509, 0.1427283, 0.1946580, 0.0259379, 0.1353624, 0.1647457, 0.1761079, 0.2244634, 0.1171731, 0.0682701, 0.0347463, 0.0516102, 0.0455136, 0.1145958, 0.0335589, 0.1894381, 0.0668068, 0.0771819, 0.1155474, 0.0091051, 0.0706006, 0.0981697, 0.1361291, 0.1364576, 0.0309431, 0.0762704, 0.0010336, 0.0000000, 0.0332703, 0.0710579, 0.0838587, 0.0000000"
1	0.654081437124625	7	0.0864941277183708	"7_1"	"0.21363993, 0.06232349, 0.05072552, 0.20741940, 0.06979559, 0.06530484, 0.03050869, 0.04418103, 0.10818345, 0.04726312, 0.01356922, 0.22056310, 0.04787198, 0.04259800, 0.03492171, 0.04842969, 0.16715933, 0.07976440, 0.06671625, 0.28836644, 0.06030445, 0.07258372, 0.05496526, 0.07605937, 0.29733324, 0.05284277, 0.05639305, 0.11771821, 0.04314926, 0.00000000, 0.05122719, 0.07794125, 0.05925784, 0.10863720, 0.07997840, 0.03947440, 0.32019373, 0.05586119, 0.10598456, 0.06666667, 0.04737823, 0.14827255, 0.04840255, 0.03777028, 0.34598596, 0.11157829, 0.06714835, 0.03768801, 0.06421170, 0.16599522, 0.05368116, 0.03298637, 0.10675582, 0.03590693, 0.06023808, 0.03849671, 0.05415162, 0.09427484, 0.02662438, 0.05593799, 0.08661043, 0.03611124, 0.00000000, 0.00000000, 0.00000000, 0.12369013, 0.00547607, 0.01243086, 0.06588170, 0.00017194, 0.00000000, 0.10360236, 0.03769525"
2	0.697439712778689	7	0.147076750170211	"7_2"	"0.1420551, 0.0868421, 0.0681624, 0.1280730, 0.0428994, 0.0468259, 0.0450159, 0.0354930, 0.0877746, 0.0470945, 0.0587427, 0.0331438, 0.0062529, 0.0103268, 0.0279374, 0.0715771, 0.1232264, 0.1398216, 0.0226850, 0.0532227, 0.0145069, 0.0314729, 0.0620658, 0.0365300, 0.0931570, 0.0458053, 0.1152069, 0.1626675, 0.1442930, 0.8746218, 0.1573661, 0.2779096, 0.2265318, 0.4736111, 0.1454971, 0.1740363, 0.0344074, 0.1011426, 0.0984556, 0.1127940, 0.3237157, 0.3812565, 0.1961458, 0.1532931, 0.0188524, 0.1028553, 0.0618155, 0.1527690, 0.1212065, 0.0854899, 0.2144230, 0.1431588, 0.1779264, 0.2919013, 0.0923651, 0.4125518, 0.0931223, 0.4094381, 0.3405101, 0.1193718, 0.3872752, 0.0796642, 0.1122463, 0.1138504, 0.0286631, 0.0868217, 0.0642822, 0.0867367, 0.1306829, 0.0281551, 0.0800526, 0.0497402, 0.1945694"
3	0.488754996795314	7	0.225629780928351	"7_3"	"0.347562, 0.391849, 0.420376, 0.370774, 0.391070, 0.442740, 0.337837, 0.212352, 0.076492, 0.126335, 0.173823, 0.154031, 0.176158, 0.080168, 0.065056, 0.110961, 0.068726, 0.123527, 0.224619, 0.186657, 0.093417, 0.110482, 0.056089, 0.100438, 0.082519, 0.135873, 0.136829, 0.080843, 0.198244, 0.036781, 0.228799, 0.157781, 0.268194, 0.149210, 0.326513, 0.458645, 0.422407, 0.468110, 0.393565, 0.455479, 0.345542, 0.293555, 0.486730, 0.473373, 0.272284, 0.442485, 0.577441, 0.492825, 0.448865, 0.420417, 0.384212, 0.494293, 0.371993, 0.323438, 0.343931, 0.180810, 0.206609, 0.129302, 0.092881, 0.198052, 0.130488, 0.112961, 0.050948, 0.123843, 0.147668, 0.074999, 0.186976, 0.230125, 0.222385, 0.288901, 0.175811, 0.030828, 0.012114"
4	0.411200058905975	7	0.0585231937602627	"7_4"	"7.9841e-02, 1.8858e-01, 1.1157e-01, 3.7195e-02, 6.6904e-02, 1.0025e-01, 1.9364e-02, 3.1115e-02, 3.4141e-01, 5.6424e-02, 3.2120e-02, 1.5630e-02, 9.0769e-03, 1.3391e-01, 6.9956e-02, 5.0284e-02, 1.8741e-01, 1.0960e-01, 2.2164e-02, 1.1315e-02, 1.5483e-02, 5.2437e-02, 1.0242e-01, 3.1608e-02, 5.9625e-02, 3.5126e-02, 2.2942e-02, 2.6378e-01, 2.0795e-02, 6.6849e-02, 1.7769e-02, 2.9004e-03, 1.3089e-02, 1.2537e-02, 0.0000e+00, 0.0000e+00, 2.9127e-02, 0.0000e+00, 7.0978e-02, 0.0000e+00, 5.3234e-05, 3.8941e-02, 0.0000e+00, 0.0000e+00, 6.5794e-03, 2.9369e-02, 1.4393e-02, 0.0000e+00, 6.1683e-04, 3.8443e-02, 2.2053e-02, 1.3074e-02, 0.0000e+00, 0.0000e+00, 0.0000e+00, 1.4051e-02, 0.0000e+00, 3.1940e-04, 1.4962e-02, 0.0000e+00, 5.5860e-05, 4.7703e-05, 7.9101e-02, 0.0000e+00, 8.2648e-03, 2.4085e-02, 5.7227e-02, 1.6786e-01, 2.3549e-03, 4.0320e-02, 5.5905e-02, 1.7174e-01, 4.4415e-01"
5	0.239667677804996	7	0.0875272838319516	"7_5"	"0.0000e+00, 1.2837e-04, 1.2194e-04, 1.4721e-04, 0.0000e+00, 3.7084e-03, 1.7496e-02, 1.6231e-02, 3.3583e-02, 1.2589e-02, 4.4944e-02, 0.0000e+00, 1.0758e-02, 6.6988e-02, 8.1672e-02, 2.2473e-04, 3.6949e-05, 5.5048e-05, 0.0000e+00, 0.0000e+00, 6.0695e-02, 5.4451e-05, 3.5094e-02, 0.0000e+00, 2.2283e-02, 4.1052e-02, 3.6367e-02, 7.6496e-03, 0.0000e+00, 0.0000e+00, 1.1351e-02, 0.0000e+00, 1.9369e-02, 6.6463e-04, 0.0000e+00, 1.4830e-02, 7.3994e-03, 0.0000e+00, 1.8018e-03, 0.0000e+00, 0.0000e+00, 8.4896e-04, 1.7130e-02, 6.3596e-03, 5.7759e-02, 1.8826e-04, 4.4383e-02, 2.0573e-02, 0.0000e+00, 0.0000e+00, 1.8849e-04, 1.5085e-02, 2.9590e-03, 3.1497e-04, 2.2948e-03, 1.5545e-03, 0.0000e+00, 0.0000e+00, 3.7934e-02, 1.5807e-02, 3.7398e-02, 2.6919e-01, 4.4705e-01, 2.4744e-01, 3.9447e-01, 4.2012e-01, 4.1204e-01, 3.6804e-01, 4.1352e-01, 3.7255e-01, 4.3527e-01, 4.5230e-01, 2.2054e-01"
